Geographic Area Name,Total Population,Total Population  - Uninsured,Total population - Uninsured %,Total population - Under 18,Under 18 - Uninsured,Under 18 - Uninsured %,Total Population - 18 to 64,Uninsured - 18 to 64,Uninsured % - 18 to 64,Total Population - 65+,Uninsured - 65+,Uninsured % - 65+,Total Population - 19 to 25,Uninsured- 19 to 25,Uninsured% - 19 to 25,Total Population - Male,Uninsured - Male,Uninsured % - Male,Total Population - Female,Uninsured - Female,Uninsured % - Female,Total Population - One Race,Uninsured - One Race,Uninsured % - One Race,Total Population - White,Uninsured - White,Uninsured % - White,Total Population - Black or African American,Uninsured - Black or African American,Uninsured % - Black or African American,Total Population - American Indian or Alaska Native,Uninsured - American Indian or Alaskan Native,Uninsured % - American Indian or Alaskan Native,Total Population - Asian,Uninsured - Asian,Uninsured % - Asian,Total Population - Native Hawaiian and Other Pacific Islander ,Uninsured - Native Hawaiian and Other Pacific Islander ,Uninsured % - Native Hawaiian and Other Pacific Islander ,Total Population - other race,Uninsured - other race,Uninsured % - other race,Total Population - 2 or more races,Uninsured - 2 or more races,Uninsured % - 2 or more races,Total Population - Native Born,Uninsured - Native Born,Uninsured % - Native Born,Total Population - Foreign Born,Uninsured - Foreign Born,Uninsured % - Foreign Born,Total Population - Naturalized,Uninsured - Naturalized,Uninsured % - Naturalized,Total Population - Not A Citizen,Uninsured - Not A Citizen,Uninsured % - Not A Citizen,Total Population - 25+,Uninsured  - 25+ ,Uninsured % - 25+,Total Population - Less than high school graduate,Uninsured  - Less than high school graduate ,Uninsured % - Less than high school graduate,Total Population - High School Graduate,Uninsured  - High School Graduate ,Uninsured % - High School Gradute,Total Population - Associate Degree,Uninsured  - Associate Degree ,Uninsured % - Associate Degree,Total Population - Bachelor's degree+,Uninsured  - Bachelor's Degree+ ,Uninsured % - Bachelor's Degree+,Total Population - 18+,Uninsured  - 18+ ,Uninsured % - 18+,Total Population - Labor Force,Uninsured  - Labor Force ,Uninsured % - Labor Force,Total Population - Employed,Uninsured  - Employed ,Uninsured % - Employed,Total Population - Unemployed,Uninsured  - Unemployed ,Uninsured % - Unemployed,Total Population - Not In Labor Force,Uninsured  - Not In Labor Force ,Uninsured % - Not In Labor Force,Total Population - Worked Full Time,Uninsured % - Worked Full Time,Uninsured - Part Time,Uninsured % - Part Time,Total Population - Not Working,Uninsured - Not Working,Uninsured % - Not Working,Total Population - Civilian Household,Uninsured - Civilian Household,Uninsured % - Civilian Household,Total Population - Income < $25000,Uninsured - Income < $25000,Uninsured % - Income < $25000,Total Population - Income between $25000 and $49999,Uninsured - Income between $25000 and $49999,Uninsured % - Income between $25000 and $49999,"Total Population - Income between $50,000 and $74,999","Uninsured- Income between $50,000 and $74,999","Uninsured%- Income between $50,000 and $74,999","Total Population - Income between $75,000 and $99,999","Uninsured - Income between $75,000 and $99,999","Uninsured % - Income between $75,000 and $99,999","Total Population - Income is $100,000 and over","Uninsured- Income is $100,000 and over","Uninsured %- Income is $100,000 and over",Total Population - Poverty Index,Uninsured - Poverty Index,Uninsured % - Poverty Index,Total Population - Poverty Threshold < 1.38,Uninsured - Poverty Threshold < 1.38,Uninsured % - Poverty Threshold < 1.38,Total Population - Poverty Threshold Between 1.38 and 1.99,Uninsured - Poverty Threshold Between 1.38 and 1.99,Uninsured% - Poverty Threshold Between 1.38 and 1.99,Total Population - Poverty Threshold > 2.0,Uninsured - Poverty Threshold > 2.0,Uninsured% - Poverty Threshold > 2.0
Mississippi,2898487,506225,17.5,751129,68473,9.1,1777295,436413,24.6,370063,1339,0.4,286840,103896,36.2,1387515,262364,18.9,1510972,243861,16.1,2865955,500697,17.5,1733175,261642,15.1,1071645,215311,20.1,13078,5304,40.6,25799,6557,25.4,333,94,28.2,21925,11789,53.8,32532,5528,17,2836579,475663,16.8,61908,30562,49.4,20101,4695,23.4,41807,25867,61.9,1850376,339906,18.4,341850,92110,26.9,562209,121032,21.5,570981,100816,17.7,375336,25948,6.9,2147358,437752,20.4,1330742,310203,23.3,1194383,231381,19.4,136359,78822,57.8,816616,127549,15.6,869783,15.5,158521,33.5,804203,144500,18,2865653,500014,17.4,792571,193810,24.5,755721,159078,21,534883,80220,15,338171,33633,9.9,444307,33273,7.5,2862641,499410,17.4,916463,243824,26.6,388777,85067,21.9,1557401,170519,10.9
Missouri,5867503,766671,13.1,1413854,95615,6.8,3648198,668149,18.3,805451,2907,0.4,563929,152466,27,2855264,403217,14.1,3012239,363454,12.1,5736327,747161,13,4889764,576841,11.8,663526,126670,19.1,21927,4755,21.7,95371,14408,15.1,5598,1368,24.4,60141,23119,38.4,131176,19510,14.9,5638860,698186,12.4,228643,68485,30,95321,15932,16.7,133322,52553,39.4,3882227,528279,13.6,481220,114581,23.8,1226029,203204,16.6,1159321,159056,13.7,1015657,51438,5.1,4453649,671056,15.1,2985483,516136,17.3,2740974,402626,14.7,244509,113510,46.4,1468166,154920,10.6,1938332,11.2,288575,25.3,1373373,164556,12,5797137,759511,13.1,1127427,252089,22.4,1425342,257850,18.1,1184382,136991,11.6,816293,56478,6.9,1243693,56103,4.5,5791251,761777,13.2,1306812,333623,25.5,697019,140471,20.2,3787420,287683,7.6
Montana,975207,169971,17.4,222011,26780,12.1,610055,142642,23.4,143141,549,0.4,91517,29130,31.8,487092,89993,18.5,488115,79978,16.4,951886,164852,17.3,875126,135139,15.4,3813,961,25.2,60792,25028,41.2,5905,1503,25.5,658,110,16.7,5592,2111,37.8,23321,5119,22,955973,165495,17.3,19234,4476,23.3,10231,1823,17.8,9003,2653,29.5,659333,116121,17.6,52434,14354,27.4,198276,43828,22.1,218684,41987,19.2,189939,15952,8.4,753196,143191,19,504346,111730,22.2,470911,94229,20,33435,17501,52.3,248850,31461,12.6,311163,16.5,63369,28.1,216903,28434,13.1,959115,167611,17.5,189885,50027,26.3,245782,58390,23.8,204278,30726,15,139268,14631,10.5,179902,13837,7.7,963561,169227,17.6,217385,65920,30.3,126844,34132,26.9,619332,69175,11.2
Nebraska,1797941,204804,11.4,456301,28487,6.2,1106394,175469,15.9,235246,848,0.4,178196,43015,24.1,888008,111354,12.5,909933,93450,10.3,1759441,199022,11.3,1588577,160527,10.1,79128,14165,17.9,15855,5236,33,32092,3839,12,1010,103,10.2,42779,15152,35.4,38500,5782,15,1686724,162527,9.6,111217,42277,38,38779,6900,17.8,72438,35377,48.8,1160295,135871,11.7,107826,30702,28.5,330925,46324,14,391750,45333,11.6,329794,13512,4.1,1341640,176317,13.1,980672,144140,14.7,929004,120199,12.9,51668,23941,46.3,360968,32177,8.9,666013,10.2,76392,21.2,316109,31739,10,1770886,203161,11.5,286643,60585,21.1,415495,71910,17.3,384088,39227,10.2,280714,17335,6.2,403946,14104,3.5,1767722,203296,11.5,342171,85320,24.9,207503,40024,19.3,1218048,77952,6.4
Nevada,2668199,577628,21.6,662603,115383,17.4,1680308,456312,27.2,325288,5933,1.8,246531,101530,41.2,1336425,307381,23,1331774,270247,20.3,2566279,558911,21.8,1947075,407986,21,210980,43972,20.8,29518,8951,30.3,195246,34154,17.5,16220,3381,20.8,167240,60467,36.2,101920,18717,18.4,2152980,381817,17.7,515219,195811,38,212441,35769,16.8,302778,160042,52.9,1762955,365929,20.8,273487,104676,38.3,505960,119888,23.7,589518,101206,17.2,393990,40159,10.2,2005596,462245,23,1388844,346385,24.9,1227826,256649,20.9,161018,89736,55.7,616752,115860,18.8,872798,16.2,183604,36.2,626118,137276,21.9,2658854,575310,21.6,417182,146780,35.2,626952,185643,29.6,549898,112072,20.4,402769,63198,15.7,662053,67617,10.2,2655817,575229,21.7,578064,230977,40,326962,102286,31.3,1750791,241966,13.8
New Hampshire,1302651,136162,10.5,285331,12728,4.5,844228,122713,14.5,173092,721,0.4,118397,25181,21.3,641624,73698,11.5,661027,62464,9.4,1282387,134059,10.5,1227595,124351,10.1,14899,2898,19.5,2430,525,21.6,28630,4357,15.2,203,40,19.7,8630,1888,21.9,20264,2103,10.4,1233470,123453,10,69181,12709,18.4,35896,4179,11.6,33285,8530,25.6,894593,99954,11.2,74588,14785,19.8,260414,41105,15.8,258143,29485,11.4,301448,14579,4.8,1017320,123434,12.1,728977,101253,13.9,683051,84190,12.3,45926,17063,37.2,288343,22181,7.7,469884,9.5,55309,19.3,261380,23687,9.1,1276258,134600,10.5,141197,26278,18.6,232486,43077,18.5,236031,28726,12.2,211258,16581,7.8,455286,19938,4.4,1276434,135272,10.6,167730,39502,23.6,114030,23297,20.4,994674,72473,7.3
New Jersey,8682727,1093464,12.6,2051906,118618,5.8,5473695,956900,17.5,1157126,17946,1.6,750851,205646,27.4,4208913,599699,14.2,4473814,493765,11,8476308,1056752,12.5,6059973,604225,10,1146241,169638,14.8,21349,5576,26.1,734013,104755,14.3,2533,431,17,512199,172127,33.6,206419,36712,17.8,6861000,568171,8.3,1821727,525293,28.8,922326,122094,13.2,899401,403199,44.8,5876499,789443,13.4,693044,189034,27.3,1701583,289571,17,1378704,177943,12.9,2103168,132895,6.3,6630821,974846,14.7,4601623,751908,16.3,4177266,587168,14.1,424357,164740,38.8,2029198,222938,11,3005374,11.9,342592,21.5,2031296,274492,13.5,8598161,1084466,12.6,1020267,215771,21.1,1365969,291387,21.3,1350803,220366,16.3,1197386,139187,11.6,3663736,217755,5.9,8611213,1088635,12.6,1270514,329678,25.9,729747,180182,24.7,6610952,578775,8.8
New Mexico,2021099,397034,19.6,514535,54096,10.5,1236393,338448,27.4,270171,4490,1.7,195054,76362,39.1,989126,209829,21.2,1031973,187205,18.1,1959477,387589,19.8,1468982,242034,16.5,39266,5722,14.6,186632,74436,39.9,26487,4041,15.3,1259,204,16.2,236851,61152,25.8,61622,9445,15.3,1824126,303066,16.6,196973,93968,47.7,65801,15050,22.9,131172,78918,60.2,1307459,271015,20.7,213152,81698,38.3,344799,84378,24.5,410618,79636,19.4,338890,25303,7.5,1506564,342938,22.8,957247,246897,25.8,873146,204000,23.4,84101,42897,51,549317,96041,17.5,615878,20.1,120524,33.1,526529,98694,18.7,2005425,392790,19.6,458797,129112,28.1,517734,128412,24.8,373974,66785,17.9,255626,31304,12.2,399294,37177,9.3,2006503,394489,19.7,576608,177945,30.9,264612,69754,26.4,1165283,146790,12.6
New York,19138275,2161817,11.3,4308427,197779,4.6,12289555,1937952,15.8,2540293,26086,1,1956896,445688,22.8,9223398,1235161,13.4,9914877,926656,9.3,18671101,2101482,11.3,12659293,1091296,8.6,2957216,383939,13,68328,15174,22.2,1440952,226134,15.7,6070,925,15.2,1539242,384014,24.9,467174,60335,12.9,14900222,1171584,7.9,4238053,990233,23.4,2213072,241632,10.9,2024981,748601,37,12885386,1569807,12.2,1905970,406417,21.3,3495540,500125,14.3,3208180,365078,11.4,4275696,298187,7,14829848,1964038,13.2,9830847,1506912,15.3,8994538,1231730,13.7,836309,275182,32.9,4999001,457126,9.1,6398370,11.9,696790,19.5,4851559,506821,10.4,18790711,2136310,11.4,3244346,478449,14.7,3618305,589701,16.3,3194853,423638,13.3,2498051,253223,10.1,6235156,391299,6.3,18866472,2146823,11.4,4055008,713356,17.6,1911957,354893,18.6,12899507,1078574,8.4
North Carolina,9341367,1511700,16.2,2271929,182011,8,5862832,1323233,22.6,1206606,6456,0.5,874518,283901,32.5,4494124,801330,17.8,4847243,710370,14.7,9142744,1479671,16.2,6535003,902318,13.8,1986039,359742,18.1,107242,27676,25.8,209770,38096,18.2,3987,969,24.3,300703,150870,50.2,198623,32029,16.1,8630943,1168180,13.5,710424,343520,48.4,216794,41708,19.2,493630,301812,61.1,6174034,1067137,17.3,942082,300956,31.9,1680529,357038,21.2,1874552,304422,16.2,1676871,104721,6.2,7069438,1329689,18.8,4676003,1018728,21.8,4200922,776249,18.5,475081,242479,51,2393435,310961,13,2941311,14.3,540887,30,2327289,367062,15.8,9223562,1496999,16.2,1959653,500393,25.5,2347377,529619,22.6,1795848,260663,14.5,1215084,112039,9.2,1905600,94285,4.9,9226233,1504154,16.3,2316942,678898,29.3,1155298,286519,24.8,5753993,538737,9.4
North Dakota,660952,65028,9.8,149890,9603,6.4,419233,55191,13.2,91829,234,0.3,78774,14971,19,332543,36353,10.9,328409,28675,8.7,649440,63300,9.7,595942,48771,8.2,7493,1534,20.5,35204,11136,31.6,6678,679,10.2,350,25,7.1,3773,1155,30.6,11512,1728,15,644202,62255,9.7,16750,2773,16.6,6250,948,15.2,10500,1825,17.4,431050,41334,9.6,39016,5114,13.1,117244,16109,13.7,156622,15109,9.6,118168,5002,4.2,511062,55425,10.8,370375,44047,11.9,358429,39509,11,11946,4538,38,140687,11378,8.1,250388,9.1,23830,16.3,114234,8911,7.8,646816,63484,9.8,104090,17856,17.2,143690,21861,15.2,133963,11289,8.4,106970,5913,5.5,158103,6565,4.2,648318,64197,9.9,117620,24751,21,65840,10812,16.4,464858,28634,6.2
Ohio,11356139,1318597,11.6,2713989,161474,5.9,7077354,1149753,16.2,1564796,7370,0.5,1053425,258109,24.5,5519642,718093,13,5836497,600504,10.3,11117335,1291457,11.6,9456114,1012280,10.7,1354482,223568,16.5,20793,4259,20.5,195665,24284,12.4,2107,439,20.8,88174,26627,30.2,238804,27140,11.4,10907222,1213868,11.1,448917,104729,23.3,220923,26453,12,227994,78276,34.3,7561713,916935,12.1,861643,181127,21,2635216,378993,14.4,2169754,265308,12.2,1895100,91507,4.8,8642150,1157123,13.4,5765861,876663,15.2,5229198,652580,12.5,536663,224083,41.8,2876289,280460,9.8,3605890,9.4,490875,21.6,2759803,327815,11.9,11215871,1306132,11.6,2184875,432471,19.8,2639226,433065,16.4,2259505,232844,10.3,1612083,106817,6.6,2520182,100935,4,11211785,1312667,11.7,2485173,560746,22.6,1272837,237899,18.7,7453775,514022,6.9
Oklahoma,3663645,681834,18.6,925028,102430,11.1,2247843,576555,25.6,490774,2849,0.6,363389,132299,36.4,1792225,354082,19.8,1871420,327752,17.5,3382991,616493,18.2,2710897,437124,16.1,255638,49795,19.5,256627,77269,30.1,64898,12460,19.2,4132,1035,25,90799,38810,42.7,280654,65341,23.3,3462676,585835,16.9,200969,95999,47.8,65193,15090,23.1,135776,80909,59.6,2369562,454705,19.2,319423,107982,33.8,748499,175163,23.4,743071,131513,17.7,558569,40047,7.2,2738617,579404,21.2,1780372,421612,23.7,1665173,355839,21.4,115199,65773,57.1,958245,157792,16.5,1214618,17.3,220263,34.2,880282,148696,16.9,3623518,675822,18.7,758922,211697,27.9,949790,228375,24,743669,127322,17.1,491470,57183,11.6,679667,51245,7.5,3619999,677270,18.7,914951,285769,31.2,476979,122880,25.8,2228069,268621,12.1
Oregon,3796881,605847,16,863026,77083,8.9,2403248,525458,21.9,530607,3306,0.6,354822,113701,32,1869369,325562,17.4,1927512,280285,14.5,3659258,583904,16,3241205,477326,14.7,66645,11385,17.1,51436,16086,31.3,143131,20426,14.3,13998,3893,27.8,142843,54788,38.4,137623,21943,15.9,3423461,476915,13.9,373420,128932,34.5,140755,21047,15,232665,107885,46.4,2579068,423535,16.4,276396,92468,33.5,635285,125380,19.7,906667,147597,16.3,760720,58090,7.6,2933855,528764,18,1928401,409621,21.2,1726628,310861,18,201773,98760,48.9,1005454,119143,11.8,1110870,13.5,250602,28.6,947506,128528,13.6,3747532,596405,15.9,681489,172287,25.3,910115,203132,22.3,757520,113073,14.9,539916,53538,9.9,858492,54375,6.3,3759654,603498,16.1,869282,257721,29.6,464094,113661,24.5,2426278,232116,9.6
Pennsylvania,12492799,1207901,9.7,2775436,147055,5.3,7826146,1051817,13.4,1891217,9029,0.5,1199713,254284,21.2,6056166,668149,11,6436633,539752,8.4,12265157,1182570,9.6,10342879,886982,8.6,1311520,189544,14.5,18430,3071,16.7,350285,49404,14.1,3730,400,10.7,238313,53169,22.3,227642,25331,11.1,11763962,1044456,8.9,728837,163445,22.4,368690,44611,12.1,360147,118834,33,8480538,827328,9.8,960370,161987,16.9,3141623,354088,11.3,2051281,208050,10.1,2327264,103203,4.4,9717363,1060846,10.9,6367715,822612,12.9,5849520,626946,10.7,518195,195666,37.8,3349648,238234,7.1,4085625,8.3,454360,18.3,3149552,269332,8.6,12263228,1194514,9.7,2093460,324169,15.5,2685280,381438,14.2,2418432,232380,9.6,1797870,119950,6.7,3268186,136577,4.2,12280583,1198549,9.8,2376514,449374,18.9,1324187,211401,16,8579882,537774,6.3
Rhode Island,1035336,115177,11.1,222588,11564,5.2,667587,102665,15.4,145161,948,0.7,113200,27072,23.9,498696,64899,13,536640,50278,9.4,1009208,112036,11.1,846297,76487,9,62996,11711,18.6,4626,858,18.5,31558,4950,15.7,320,33,10.3,63411,17997,28.4,26128,3141,12,900101,78306,8.7,135235,36871,27.3,65758,8570,13,69477,28301,40.7,694758,77774,11.2,102818,19680,19.1,190640,26709,14,185678,19640,10.6,215622,11745,5.4,812748,103613,12.7,556084,82037,14.8,505339,62031,12.3,50745,20006,39.4,256664,21576,8.4,337787,9.9,44056,19.2,244977,26036,10.6,1007141,112652,11.2,168042,27301,16.2,195518,34107,17.4,177643,22768,12.8,150476,12051,8,315462,16425,5.2,1008454,113235,11.2,195651,37821,19.3,103016,20173,19.6,709787,55241,7.8
South Carolina,4527713,764616,16.9,1074956,102919,9.6,2830117,658610,23.3,622640,3087,0.5,443142,148281,33.5,2173330,402368,18.5,2354383,362248,15.4,4449189,751469,16.9,3052949,450283,14.7,1250611,246017,19.7,14659,3466,23.6,56533,11433,20.2,1601,416,26,72836,39854,54.7,78524,13147,16.7,4309926,661728,15.4,217787,102888,47.2,70865,12854,18.1,146922,90034,61.3,3002808,523991,17.5,467610,133685,28.6,910572,199628,21.9,878378,141503,16.1,746248,49175,6.6,3452757,661697,19.2,2212588,494226,22.3,1973349,365543,18.5,239239,128683,53.8,1240169,167471,13.5,1402381,14.6,256478,30.7,1214096,200609,16.5,4471619,758223,17,1016448,273733,26.9,1138919,244461,21.5,872841,127235,14.6,584703,55884,9.6,858708,56910,6.6,4469250,759261,17,1162081,344910,29.7,584156,139908,24,2723013,274443,10.1
South Dakota,797646,94369,11.8,200704,14028,7,486139,79981,16.5,110803,360,0.3,78122,19528,25,397860,51276,12.9,399786,43093,10.8,781045,91177,11.7,687812,61366,8.9,9612,2111,22,68870,24065,34.9,7979,1419,17.8,133,77,57.9,6639,2139,32.2,16601,3192,19.2,776477,88137,11.4,21169,6232,29.4,8069,1214,15,13100,5018,38.3,517209,61802,11.9,48750,10300,21.1,164372,24400,14.8,167115,20698,12.4,136972,6404,4.7,596942,80341,13.5,428143,64005,14.9,407914,53843,13.2,20229,10162,50.2,168799,16336,9.7,297146,11,31951,20.5,143895,15608,10.8,779202,92130,11.8,136585,29050,21.3,184612,29968,16.2,177195,18242,10.3,126800,8005,6.3,154010,6865,4.5,784094,93477,11.9,164159,39784,24.2,95107,17754,18.7,524828,35939,6.8
Tennessee,6251368,867752,13.9,1490684,85523,5.7,3927588,778592,19.8,833096,3637,0.4,588355,167342,28.4,3027169,476117,15.7,3224199,391635,12.1,6142757,851690,13.9,4915581,623927,12.7,1029275,166489,16.2,15529,4061,26.2,92496,16552,17.9,2594,278,10.7,87282,40383,46.3,108611,16062,14.8,5964792,741286,12.4,286576,126466,44.1,95117,18618,19.6,191459,107848,56.3,4165922,630761,15.1,655458,160688,24.5,1372192,259722,18.9,1147364,155706,13.6,990908,54645,5.5,4760684,782229,16.4,3076062,575541,18.7,2785163,440951,15.8,290899,134590,46.3,1684622,206688,12.3,1975855,12.2,317053,27.1,1613067,223164,13.8,6184734,859570,13.9,1371630,307417,22.4,1595532,283894,17.8,1227189,146673,12,809365,62830,7.8,1181018,58756,5,6178320,862314,14,1575119,393578,25,795842,158578,19.9,3807359,310158,8.1
Texas,24723454,5696586,23,6838394,999221,14.6,15332784,4649357,30.3,2552276,48008,1.9,2483860,1051683,42.3,12133642,2922813,24.1,12589812,2773773,22,24178789,5592075,23.1,18351912,3977018,21.7,2854079,591517,20.7,124533,35382,28.4,973892,205924,21.1,19456,4475,23,1854917,777759,41.9,544665,104511,19.2,20674664,3686060,17.8,4048790,2010526,49.7,1332472,346122,26,2716318,1664404,61.3,15378249,3695551,24,2913341,1334848,45.8,3862634,1108407,28.7,4502557,901609,20,4099717,350687,8.6,17885060,4697365,26.3,12232826,3445223,28.2,11320065,2921575,25.8,912761,523648,57.4,5652234,1252142,22.2,8333519,21.5,1648570,39.2,5344459,1255773,23.5,24551886,5665123,23.1,4756180,1623853,34.1,5895234,1903647,32.3,4602784,1092592,23.7,3220208,515656,16,6077480,529375,8.7,24533278,5669306,23.1,6384047,2425497,38,3073611,1058666,34.4,15075620,2185143,14.5
Utah,2737627,404921,14.8,864177,94469,10.9,1625829,308784,19,247621,1668,0.7,312332,76301,24.4,1368830,216004,15.8,1368797,188917,13.8,2675167,394949,14.8,2441727,326914,13.4,28541,5768,20.2,30036,9885,32.9,55777,7797,14,25365,5182,20.4,93721,39403,42,62460,9972,16,2510415,307834,12.3,227212,97087,42.7,76239,14993,19.7,150973,82094,54.4,1557670,237801,15.3,144529,55380,38.3,370587,72500,19.6,574263,79276,13.8,468291,30645,6.5,1873450,310452,16.6,1330674,242597,18.2,1240983,201038,16.2,89691,41559,46.3,542776,67855,12.5,822818,13.2,135843,24.2,490265,66235,13.5,2714493,401005,14.8,342458,96446,28.2,581500,129765,22.3,621282,87112,14,449478,37797,8.4,719775,49885,6.9,2714542,402179,14.8,509819,159259,31.2,355044,76930,21.7,1849679,165990,9
Vermont,619339,46863,7.6,127986,3393,2.7,402530,43271,10.7,88823,199,0.2,61968,10414,16.8,305227,28877,9.5,314112,17986,5.7,607849,45743,7.5,590525,43447,7.4,5591,650,11.6,1814,213,11.7,7877,1065,13.5,130,5,3.8,1912,363,19,11490,1120,9.7,594249,44230,7.4,25090,2633,10.5,14711,788,5.4,10379,1845,17.8,426113,33744,7.9,36276,4380,12.1,132571,14330,10.8,110347,9294,8.4,146919,5740,3.9,491353,43470,8.8,343694,38109,11.1,321893,32919,10.2,21801,5190,23.8,147659,5361,3.6,213254,9.1,18990,12.4,124710,5073,4.1,599783,46223,7.7,90906,8122,8.9,134285,15240,11.3,129160,12182,9.4,97861,5198,5.3,147571,5481,3.7,600134,46397,7.7,106161,10836,10.2,66557,7884,11.8,427416,27677,6.5
Virginia,7788504,955207,12.3,1845142,117053,6.3,4982213,829626,16.7,961149,8528,0.9,744390,189760,25.5,3755563,506104,13.5,4032941,449103,11.1,7573474,929598,12.3,5437427,556095,10.2,1489133,230054,15.4,23647,5228,22.1,439258,67806,15.4,4951,557,11.3,179058,69858,39,215030,25609,11.9,6907145,695134,10.1,881359,260073,29.5,405321,56533,13.9,476038,203540,42.8,5188762,663403,12.8,665212,177634,26.7,1309046,228279,17.4,1398322,169547,12.1,1816182,87943,4.8,5943362,838154,14.1,4097844,637417,15.6,3826118,512249,13.4,271726,125168,46.1,1845518,200737,10.9,2803209,10.3,334292,23.3,1705192,216394,12.7,7687228,946079,12.3,1061067,240331,22.6,1450003,285815,19.7,1365547,182369,13.4,1097247,98349,9,2713364,139215,5.1,7682736,948654,12.3,1297514,352395,27.2,720750,162267,22.5,5664472,433992,7.7
Washington,6628521,895281,13.5,1574104,102094,6.5,4236714,786918,18.6,817703,6269,0.8,625533,186355,29.8,3274973,492743,15,3353548,402538,12,6322823,855681,13.5,5224125,630098,12.1,225813,39418,17.5,91249,23485,25.7,480113,64766,13.5,38290,6953,18.2,263233,90961,34.6,305698,39600,13,5759644,650954,11.3,868877,244327,28.1,391907,59372,15.1,476970,184955,38.8,4424292,620559,14,440231,143166,32.5,1039568,191845,18.5,1535255,204860,13.3,1409238,80688,5.7,5054417,793187,15.7,3416056,603233,17.7,3121137,466618,15,294919,136615,46.3,1638361,189954,11.6,2104675,10.9,369184,25.9,1526337,195185,12.8,6559228,888059,13.5,956710,220992,23.1,1353211,281819,20.8,1266140,180307,14.2,994371,93926,9.4,1988796,111015,5.6,6567579,890731,13.6,1260640,334209,26.5,668671,153637,23,4638268,402885,8.7
West Virginia,1820798,261642,14.4,385714,18723,4.9,1144770,242136,21.2,290314,783,0.3,162571,54008,33.2,891930,134008,15,928868,127634,13.7,1786806,257007,14.4,1714636,244076,14.2,52741,9305,17.6,2687,650,24.2,12607,1907,15.1,521,209,40.1,3614,860,23.8,33992,4635,13.6,1796460,256776,14.3,24338,4866,20,11267,1232,10.9,13071,3634,27.8,1266470,192914,15.2,206482,37784,18.3,518490,92783,17.9,311699,46929,15.1,229799,15418,6.7,1435084,242919,16.9,816472,169902,20.8,754229,137228,18.2,62243,32674,52.5,618612,73017,11.8,539911,14.3,91539,29.5,585088,74095,12.7,1799911,258952,14.4,439912,98405,22.4,473410,83502,17.6,363801,42563,11.7,232843,17785,7.6,289945,16697,5.8,1796778,259274,14.4,465822,116666,25,238018,45264,19,1092938,97344,8.9
Wisconsin,5609422,503740,9,1331719,63064,4.7,3524710,438182,12.4,752993,2494,0.3,532502,113864,21.4,2771404,292448,10.6,2838018,211292,7.4,5502482,492029,8.9,4906716,392548,8,336479,46431,13.8,47546,10077,21.2,129003,17004,13.2,1272,106,8.3,81466,25863,31.7,106940,11711,11,5347345,427069,8,262077,76671,29.3,109194,12823,11.7,152883,63848,41.8,3733691,334314,9,354824,68562,19.3,1231416,128871,10.5,1149439,100150,8.7,998012,36731,3.7,4277703,440676,10.3,3024317,354773,11.7,2806562,278955,9.9,217755,75818,34.8,1253386,85903,6.9,1908611,7.8,198961,16.2,1143097,93096,8.1,5533860,498143,9,882635,143119,16.2,1261638,167089,13.2,1168302,96455,8.3,893779,45122,5,1327506,46358,3.5,5531773,498952,9,1042475,196944,18.9,608832,90243,14.8,3880466,211765,5.5
Wyoming,553168,82570,14.9,134264,11766,8.8,350829,70343,20.1,68075,461,0.7,54029,14693,27.2,279947,42442,15.2,273221,40128,14.7,538195,79751,14.8,505097,70405,13.9,4069,775,19,12698,4080,32.1,4288,613,14.3,197,40,20.3,11846,3838,32.4,14973,2819,18.8,535469,74523,13.9,17699,8047,45.5,6010,1268,21.1,11689,6779,58,364113,56881,15.6,28308,8180,28.9,110652,22487,20.3,135923,20782,15.3,89230,5432,6.1,418904,70804,16.9,298640,57003,19.1,284092,49897,17.6,14548,7106,48.8,120264,13801,11.5,203865,14.5,30055,26.3,100574,11088,11,546648,81580,14.9,74376,16686,22.4,119677,26228,21.9,115611,17881,15.5,91488,9553,10.4,145496,11232,7.7,546627,81960,15,92845,24957,26.9,61967,15076,24.3,391815,41927,10.7
Puerto Rico,3690113,289233,7.8,896254,38827,4.3,2251952,246457,10.9,541907,3949,0.7,367792,48632,13.2,1760357,175794,10,1929756,113439,5.9,3266882,258167,7.9,2615620,190719,7.3,279394,32699,11.7,8558,967,11.3,12240,2421,19.8,44,0,0,351026,31361,8.9,423231,31066,7.3,3586254,261027,7.3,103859,28206,27.2,40983,3889,9.5,62876,24317,38.7,2418572,206777,8.5,728782,56304,7.7,621998,62370,10,521472,52882,10.1,546320,35221,6.4,2793859,250406,9,1356504,170522,12.6,1118933,128152,11.5,237571,42370,17.8,1437355,79884,5.6,777857,9.6,74693,16.4,1560435,100729,6.5,3676572,288035,7.8,1923827,149353,7.8,990113,91005,9.2,430622,30888,7.2,161313,9320,5.8,170697,7469,4.4,3677799,288741,7.9,2134919,176254,8.3,559820,52234,9.3,983060,60253,6.1
