FIPS Code,State/Area,year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Area_Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Unemployment_rate
28,Mississippi,2017,4,"2,284,182   ","1,275,266   ",55.8,"1,206,831   ",52.8,"68,435   ",5.4
29,Missouri,2017,4,"4,770,646   ","3,055,812   ",64.1,"2,938,558   ",61.6,"117,254   ",3.8
30,Montana,2017,4,"834,459   ","527,966   ",63.3,"506,451   ",60.7,"21,515   ",4.1
31,Nebraska,2017,4,"1,471,446   ","1,021,255   ",69.4,"991,350   ",67.4,"29,905   ",2.9
32,Nevada,2017,4,"2,298,398   ","1,435,347   ",62.4,"1,361,526   ",59.2,"73,821   ",5.1
33,New Hampshire,2017,4,"1,110,573   ","757,810   ",68.2,"736,689   ",66.3,"21,121   ",2.8
34,New Jersey,2017,4,"7,258,939   ","4,619,442   ",63.6,"4,414,239   ",60.8,"205,203   ",4.4
35,New Mexico,2017,4,"1,625,571   ","950,523   ",58.5,"889,828   ",54.7,"60,695   ",6.4
36,New York,2017,4,"16,164,053   ","9,835,869   ",60.9,"9,384,093   ",58.1,"451,776   ",4.6
51000,New York city,2017,4,"7,085,835   ","4,301,819   ",60.7,"4,107,720   ",58.0,"194,099   ",4.5
37,North Carolina,2017,4,"7,909,881   ","4,847,192   ",61.3,"4,627,549   ",58.5,"219,643   ",4.5
38,North Dakota,2017,4,"587,421   ","417,282   ",71.0,"406,414   ",69.2,"10,868   ",2.6
39,Ohio,2017,4,"9,227,261   ","5,818,553   ",63.1,"5,523,019   ",59.9,"295,534   ",5.1
40,Oklahoma,2017,4,"2,985,331   ","1,820,464   ",61.0,"1,745,904   ",58.5,"74,560   ",4.1
41,Oregon,2017,4,"3,317,811   ","2,071,449   ",62.4,"1,990,080   ",60.0,"81,369   ",3.9
42,Pennsylvania,2017,4,"10,348,227   ","6,498,146   ",62.8,"6,171,838   ",59.6,"326,308   ",5.0
44,Rhode Island,2017,4,"881,040   ","567,546   ",64.4,"542,434   ",61.6,"25,112   ",4.4
45,South Carolina,2017,4,"3,886,786   ","2,260,249   ",58.2,"2,166,033   ",55.7,"94,216   ",4.2
46,South Dakota,2017,4,"657,120   ","455,014   ",69.2,"441,183   ",67.1,"13,831   ",3.0
47,Tennessee,2017,4,"5,271,724   ","3,184,140   ",60.4,"3,059,223   ",58.0,"124,917   ",3.9
48,Texas,2017,4,"21,067,528   ","13,448,306   ",63.8,"12,838,380   ",60.9,"609,926   ",4.5
49,Utah,2017,4,"2,248,507   ","1,548,135   ",68.9,"1,498,943   ",66.7,"49,192   ",3.2
50,Vermont,2017,4,"527,166   ","355,243   ",67.4,"344,374   ",65.3,"10,869   ",3.1
51,Virginia,2017,4,"6,613,512   ","4,347,838   ",65.7,"4,181,768   ",63.2,"166,070   ",3.8
53,Washington,2017,4,"5,828,817   ","3,710,929   ",63.7,"3,540,606   ",60.7,"170,323   ",4.6
54,West Virginia,2017,4,"1,468,871   ","781,942   ",53.2,"742,508   ",50.5,"39,434   ",5.0
55,Wisconsin,2017,4,"4,611,242   ","3,140,437   ",68.1,"3,037,886   ",65.9,"102,551   ",3.3
56,Wyoming,2017,4,"446,019   ","294,093   ",65.9,"281,693   ",63.2,"12,400   ",4.2
1,Alabama,2017,5,"3,885,734   ","2,201,642   ",56.7,"2,100,033   ",54.0,"101,609   ",4.6
2,Alaska,2017,5,"546,537   ","361,601   ",66.2,"338,131   ",61.9,"23,470   ",6.5
4,Arizona,2017,5,"5,329,287   ","3,235,526   ",60.7,"3,075,187   ",57.7,"160,339   ",5.0
5,Arkansas,2017,5,"2,310,930   ","1,349,569   ",58.4,"1,300,097   ",56.3,"49,472   ",3.7
6,California,2017,5,"30,778,619   ","19,193,658   ",62.4,"18,252,450   ",59.3,"941,208   ",4.9
37,Los Angeles County,2017,5,"8,077,722   ","5,113,420   ",63.3,"4,867,025   ",60.3,"246,395   ",4.8
8,Colorado,2017,5,"4,366,681   ","2,952,554   ",67.6,"2,880,674   ",66.0,"71,880   ",2.4
9,Connecticut,2017,5,"2,899,596   ","1,930,068   ",66.6,"1,844,470   ",63.6,"85,598   ",4.4
10,Delaware,2017,5,"762,744   ","474,720   ",62.2,"453,188   ",59.4,"21,532   ",4.5
11,District of Columbia,2017,5,"557,586   ","393,227   ",70.5,"369,006   ",66.2,"24,221   ",6.2
12,Florida,2017,5,"16,783,107   ","9,982,016   ",59.5,"9,551,303   ",56.9,"430,713   ",4.3
13,Georgia,2017,5,"7,982,301   ","5,103,277   ",63.9,"4,856,196   ",60.8,"247,081   ",4.8
15,Hawaii,2017,5,"1,120,338   ","698,628   ",62.4,"682,060   ",60.9,"16,568   ",2.4
16,Idaho,2017,5,"1,310,221   ","836,335   ",63.8,"809,789   ",61.8,"26,546   ",3.2
17,Illinois,2017,5,"10,140,930   ","6,556,293   ",64.7,"6,233,870   ",61.5,"322,423   ",4.9
18,Indiana,2017,5,"5,184,386   ","3,331,884   ",64.3,"3,218,341   ",62.1,"113,543   ",3.4
19,Iowa,2017,5,"2,463,587   ","1,699,561   ",69.0,"1,646,955   ",66.9,"52,606   ",3.1
20,Kansas,2017,5,"2,226,502   ","1,490,429   ",66.9,"1,436,226   ",64.5,"54,203   ",3.6
21,Kentucky,2017,5,"3,487,695   ","2,056,962   ",59.0,"1,955,520   ",56.1,"101,442   ",4.9
22,Louisiana,2017,5,"3,585,573   ","2,108,626   ",58.8,"1,998,677   ",55.7,"109,949   ",5.2
23,Maine,2017,5,"1,105,242   ","705,023   ",63.8,"681,002   ",61.6,"24,021   ",3.4
24,Maryland,2017,5,"4,794,881   ","3,242,668   ",67.6,"3,116,341   ",65.0,"126,327   ",3.9
25,Massachusetts,2017,5,"5,647,874   ","3,720,395   ",65.9,"3,577,599   ",63.3,"142,796   ",3.8
26,Michigan,2017,5,"7,993,839   ","4,902,149   ",61.3,"4,690,213   ",58.7,"211,936   ",4.3
27,Minnesota,2017,5,"4,374,042   ","3,072,030   ",70.2,"2,964,839   ",67.8,"107,191   ",3.5
28,Mississippi,2017,5,"2,284,478   ","1,275,453   ",55.8,"1,207,603   ",52.9,"67,850   ",5.3
29,Missouri,2017,5,"4,772,428   ","3,056,058   ",64.0,"2,941,772   ",61.6,"114,286   ",3.7
30,Montana,2017,5,"835,357   ","528,803   ",63.3,"507,282   ",60.7,"21,521   ",4.1
31,Nebraska,2017,5,"1,472,317   ","1,022,712   ",69.5,"992,866   ",67.4,"29,846   ",2.9
32,Nevada,2017,5,"2,301,965   ","1,438,906   ",62.5,"1,366,662   ",59.4,"72,244   ",5.0
33,New Hampshire,2017,5,"1,111,368   ","758,365   ",68.2,"737,463   ",66.4,"20,902   ",2.8
34,New Jersey,2017,5,"7,262,930   ","4,623,330   ",63.7,"4,417,571   ",60.8,"205,759   ",4.5
35,New Mexico,2017,5,"1,625,879   ","950,564   ",58.5,"891,259   ",54.8,"59,305   ",6.2
36,New York,2017,5,"16,167,243   ","9,852,683   ",60.9,"9,398,001   ",58.1,"454,682   ",4.6
51000,New York city,2017,5,"7,087,675   ","4,308,587   ",60.8,"4,113,325   ",58.0,"195,262   ",4.5
37,North Carolina,2017,5,"7,918,338   ","4,856,677   ",61.3,"4,638,960   ",58.6,"217,717   ",4.5
38,North Dakota,2017,5,"587,456   ","417,252   ",71.0,"406,697   ",69.2,"10,555   ",2.5
39,Ohio,2017,5,"9,230,327   ","5,824,602   ",63.1,"5,531,724   ",59.9,"292,878   ",5.0
40,Oklahoma,2017,5,"2,985,810   ","1,823,836   ",61.1,"1,750,065   ",58.6,"73,771   ",4.0
41,Oregon,2017,5,"3,321,992   ","2,078,660   ",62.6,"1,996,510   ",60.1,"82,150   ",4.0
42,Pennsylvania,2017,5,"10,350,397   ","6,496,113   ",62.8,"6,173,003   ",59.6,"323,110   ",5.0
44,Rhode Island,2017,5,"881,389   ","567,818   ",64.4,"542,809   ",61.6,"25,009   ",4.4
45,South Carolina,2017,5,"3,891,383   ","2,262,759   ",58.1,"2,169,130   ",55.7,"93,629   ",4.1
46,South Dakota,2017,5,"657,715   ","455,572   ",69.3,"441,739   ",67.2,"13,833   ",3.0
47,Tennessee,2017,5,"5,276,523   ","3,189,735   ",60.5,"3,071,352   ",58.2,"118,383   ",3.7
48,Texas,2017,5,"21,093,527   ","13,464,024   ",63.8,"12,868,903   ",61.0,"595,121   ",4.4
49,Utah,2017,5,"2,253,166   ","1,552,513   ",68.9,"1,503,169   ",66.7,"49,344   ",3.2
50,Vermont,2017,5,"527,406   ","355,445   ",67.4,"344,781   ",65.4,"10,664   ",3.0
51,Virginia,2017,5,"6,618,227   ","4,354,662   ",65.8,"4,192,147   ",63.3,"162,515   ",3.7
53,Washington,2017,5,"5,838,142   ","3,720,366   ",63.7,"3,550,246   ",60.8,"170,120   ",4.6
54,West Virginia,2017,5,"1,468,037   ","782,759   ",53.3,"743,381   ",50.6,"39,378   ",5.0
55,Wisconsin,2017,5,"4,613,352   ","3,145,031   ",68.2,"3,042,977   ",66.0,"102,054   ",3.2
56,Wyoming,2017,5,"445,744   ","293,917   ",65.9,"281,799   ",63.2,"12,118   ",4.1
1,Alabama,2017,6,"3,887,836   ","2,202,497   ",56.7,"2,104,727   ",54.1,"97,770   ",4.4
2,Alaska,2017,6,"546,455   ","361,303   ",66.1,"337,822   ",61.8,"23,481   ",6.5
4,Arizona,2017,6,"5,336,246   ","3,240,691   ",60.7,"3,081,904   ",57.8,"158,787   ",4.9
5,Arkansas,2017,6,"2,311,828   ","1,351,134   ",58.4,"1,301,422   ",56.3,"49,712   ",3.7
6,California,2017,6,"30,796,384   ","19,209,913   ",62.4,"18,277,837   ",59.4,"932,076   ",4.9
37,Los Angeles County,2017,6,"8,079,891   ","5,119,263   ",63.4,"4,873,614   ",60.3,"245,649   ",4.8
8,Colorado,2017,6,"4,372,492   ","2,963,235   ",67.8,"2,888,997   ",66.1,"74,238   ",2.5
9,Connecticut,2017,6,"2,900,224   ","1,928,233   ",66.5,"1,843,190   ",63.6,"85,043   ",4.4
10,Delaware,2017,6,"763,427   ","475,584   ",62.3,"454,216   ",59.5,"21,368   ",4.5
11,District of Columbia,2017,6,"557,978   ","393,872   ",70.6,"369,704   ",66.3,"24,168   ",6.1
12,Florida,2017,6,"16,807,904   ","9,990,313   ",59.4,"9,564,671   ",56.9,"425,642   ",4.3
13,Georgia,2017,6,"7,991,338   ","5,112,111   ",64.0,"4,868,580   ",60.9,"243,531   ",4.8
15,Hawaii,2017,6,"1,120,449   ","697,513   ",62.3,"681,765   ",60.8,"15,748   ",2.3
16,Idaho,2017,6,"1,312,989   ","838,842   ",63.9,"812,467   ",61.9,"26,375   ",3.1
17,Illinois,2017,6,"10,141,678   ","6,558,948   ",64.7,"6,235,783   ",61.5,"323,165   ",4.9
18,Indiana,2017,6,"5,187,058   ","3,335,421   ",64.3,"3,221,008   ",62.1,"114,413   ",3.4
19,Iowa,2017,6,"2,464,721   ","1,700,553   ",69.0,"1,648,287   ",66.9,"52,266   ",3.1
20,Kansas,2017,6,"2,226,785   ","1,491,269   ",67.0,"1,437,066   ",64.5,"54,203   ",3.6
21,Kentucky,2017,6,"3,489,324   ","2,057,642   ",59.0,"1,957,047   ",56.1,"100,595   ",4.9
22,Louisiana,2017,6,"3,585,476   ","2,107,721   ",58.8,"2,000,996   ",55.8,"106,725   ",5.1
23,Maine,2017,6,"1,105,797   ","705,310   ",63.8,"681,228   ",61.6,"24,082   ",3.4
24,Maryland,2017,6,"4,797,391   ","3,248,037   ",67.7,"3,121,014   ",65.1,"127,023   ",3.9
25,Massachusetts,2017,6,"5,652,341   ","3,725,928   ",65.9,"3,583,056   ",63.4,"142,872   ",3.8
26,Michigan,2017,6,"7,997,567   ","4,908,978   ",61.4,"4,693,648   ",58.7,"215,330   ",4.4
27,Minnesota,2017,6,"4,377,719   ","3,074,738   ",70.2,"2,968,624   ",67.8,"106,114   ",3.5
28,Mississippi,2017,6,"2,284,836   ","1,275,119   ",55.8,"1,207,857   ",52.9,"67,262   ",5.3
29,Missouri,2017,6,"4,774,476   ","3,056,124   ",64.0,"2,944,244   ",61.7,"111,880   ",3.7
30,Montana,2017,6,"836,278   ","529,395   ",63.3,"507,800   ",60.7,"21,595   ",4.1
31,Nebraska,2017,6,"1,473,325   ","1,024,040   ",69.5,"994,089   ",67.5,"29,951   ",2.9
32,Nevada,2017,6,"2,305,622   ","1,442,180   ",62.6,"1,371,436   ",59.5,"70,744   ",4.9
33,New Hampshire,2017,6,"1,112,237   ","758,744   ",68.2,"737,883   ",66.3,"20,861   ",2.7
34,New Jersey,2017,6,"7,267,412   ","4,625,598   ",63.6,"4,418,021   ",60.8,"207,577   ",4.5
35,New Mexico,2017,6,"1,626,351   ","950,091   ",58.4,"892,199   ",54.9,"57,892   ",6.1
36,New York,2017,6,"16,171,494   ","9,865,598   ",61.0,"9,407,322   ",58.2,"458,276   ",4.6
51000,New York city,2017,6,"7,089,553   ","4,313,385   ",60.8,"4,116,887   ",58.1,"196,498   ",4.6
37,North Carolina,2017,6,"7,926,790   ","4,867,493   ",61.4,"4,650,257   ",58.7,"217,236   ",4.5
38,North Dakota,2017,6,"587,479   ","416,868   ",71.0,"406,504   ",69.2,"10,364   ",2.5
39,Ohio,2017,6,"9,234,031   ","5,829,922   ",63.1,"5,538,880   ",60.0,"291,042   ",5.0
40,Oklahoma,2017,6,"2,986,403   ","1,827,363   ",61.2,"1,754,030   ",58.7,"73,333   ",4.0
41,Oregon,2017,6,"3,326,387   ","2,083,955   ",62.6,"2,000,509   ",60.1,"83,446   ",4.0
42,Pennsylvania,2017,6,"10,353,296   ","6,491,089   ",62.7,"6,170,674   ",59.6,"320,415   ",4.9
44,Rhode Island,2017,6,"881,753   ","568,094   ",64.4,"543,011   ",61.6,"25,083   ",4.4
45,South Carolina,2017,6,"3,895,976   ","2,265,091   ",58.1,"2,171,395   ",55.7,"93,696   ",4.1
46,South Dakota,2017,6,"658,336   ","456,058   ",69.3,"442,179   ",67.2,"13,879   ",3.0
47,Tennessee,2017,6,"5,281,634   ","3,195,545   ",60.5,"3,082,091   ",58.4,"113,454   ",3.6
48,Texas,2017,6,"21,120,880   ","13,476,361   ",63.8,"12,894,947   ",61.1,"581,414   ",4.3
49,Utah,2017,6,"2,258,001   ","1,556,173   ",68.9,"1,506,746   ",66.7,"49,427   ",3.2
50,Vermont,2017,6,"527,669   ","355,561   ",67.4,"345,064   ",65.4,"10,497   ",3.0
51,Virginia,2017,6,"6,623,222   ","4,359,665   ",65.8,"4,200,505   ",63.4,"159,160   ",3.7
53,Washington,2017,6,"5,847,722   ","3,729,167   ",63.8,"3,558,488   ",60.9,"170,679   ",4.6
54,West Virginia,2017,6,"1,467,303   ","783,929   ",53.4,"744,274   ",50.7,"39,655   ",5.1
55,Wisconsin,2017,6,"4,615,766   ","3,148,514   ",68.2,"3,046,157   ",66.0,"102,357   ",3.3
56,Wyoming,2017,6,"445,488   ","293,892   ",66.0,"281,770   ",63.2,"12,122   ",4.1
1,Alabama,2017,7,"3,890,080   ","2,203,232   ",56.6,"2,108,489   ",54.2,"94,743   ",4.3
2,Alaska,2017,7,"546,404   ","360,916   ",66.1,"337,403   ",61.7,"23,513   ",6.5
4,Arizona,2017,7,"5,343,401   ","3,245,145   ",60.7,"3,087,275   ",57.8,"157,870   ",4.9
5,Arkansas,2017,7,"2,312,895   ","1,351,933   ",58.5,"1,301,824   ",56.3,"50,109   ",3.7
6,California,2017,7,"30,814,609   ","19,220,058   ",62.4,"18,295,974   ",59.4,"924,084   ",4.8
37,Los Angeles County,2017,7,"8,082,058   ","5,122,874   ",63.4,"4,877,752   ",60.4,"245,122   ",4.8
8,Colorado,2017,7,"4,378,506   ","2,973,006   ",67.9,"2,895,586   ",66.1,"77,420   ",2.6
9,Connecticut,2017,7,"2,900,939   ","1,925,520   ",66.4,"1,840,878   ",63.5,"84,642   ",4.4
10,Delaware,2017,7,"764,130   ","476,348   ",62.3,"455,117   ",59.6,"21,231   ",4.5
11,District of Columbia,2017,7,"558,400   ","394,348   ",70.6,"370,273   ",66.3,"24,075   ",6.1
12,Florida,2017,7,"16,833,365   ","9,992,489   ",59.4,"9,570,284   ",56.9,"422,205   ",4.2
13,Georgia,2017,7,"8,000,056   ","5,119,769   ",64.0,"4,879,233   ",61.0,"240,536   ",4.7
15,Hawaii,2017,7,"1,120,494   ","695,816   ",62.1,"681,002   ",60.8,"14,814   ",2.1
16,Idaho,2017,7,"1,315,819   ","841,394   ",63.9,"814,980   ",61.9,"26,414   ",3.1
17,Illinois,2017,7,"10,142,497   ","6,562,474   ",64.7,"6,237,591   ",61.5,"324,883   ",5.0
18,Indiana,2017,7,"5,189,970   ","3,338,155   ",64.3,"3,221,914   ",62.1,"116,241   ",3.5
19,Iowa,2017,7,"2,465,952   ","1,700,544   ",69.0,"1,648,568   ",66.9,"51,976   ",3.1
20,Kansas,2017,7,"2,227,158   ","1,491,424   ",67.0,"1,437,289   ",64.5,"54,135   ",3.6
21,Kentucky,2017,7,"3,491,116   ","2,057,506   ",58.9,"1,958,016   ",56.1,"99,490   ",4.8
22,Louisiana,2017,7,"3,585,554   ","2,106,949   ",58.8,"2,002,832   ",55.9,"104,117   ",4.9
23,Maine,2017,7,"1,106,399   ","705,343   ",63.8,"681,199   ",61.6,"24,144   ",3.4
24,Maryland,2017,7,"4,800,145   ","3,252,578   ",67.8,"3,124,032   ",65.1,"128,546   ",4.0
25,Massachusetts,2017,7,"5,657,070   ","3,730,379   ",65.9,"3,587,404   ",63.4,"142,975   ",3.8
26,Michigan,2017,7,"8,001,747   ","4,916,658   ",61.4,"4,694,847   ",58.7,"221,811   ",4.5
27,Minnesota,2017,7,"4,381,597   ","3,076,593   ",70.2,"2,970,957   ",67.8,"105,636   ",3.4
28,Mississippi,2017,7,"2,285,338   ","1,274,114   ",55.8,"1,207,439   ",52.8,"66,675   ",5.2
29,Missouri,2017,7,"4,776,443   ","3,055,731   ",64.0,"2,945,386   ",61.7,"110,345   ",3.6
30,Montana,2017,7,"837,250   ","529,710   ",63.3,"507,986   ",60.7,"21,724   ",4.1
31,Nebraska,2017,7,"1,474,319   ","1,025,081   ",69.5,"994,852   ",67.5,"30,229   ",2.9
32,Nevada,2017,7,"2,309,416   ","1,445,520   ",62.6,"1,375,795   ",59.6,"69,725   ",4.8
33,New Hampshire,2017,7,"1,113,138   ","758,881   ",68.2,"737,898   ",66.3,"20,983   ",2.8
34,New Jersey,2017,7,"7,272,205   ","4,625,490   ",63.6,"4,415,446   ",60.7,"210,044   ",4.5
35,New Mexico,2017,7,"1,626,890   ","949,257   ",58.3,"892,654   ",54.9,"56,603   ",6.0
36,New York,2017,7,"16,176,572   ","9,872,094   ",61.0,"9,410,601   ",58.2,"461,493   ",4.7
51000,New York city,2017,7,"7,091,418   ","4,314,900   ",60.8,"4,117,855   ",58.1,"197,045   ",4.6
37,North Carolina,2017,7,"7,935,565   ","4,878,081   ",61.5,"4,660,009   ",58.7,"218,072   ",4.5
38,North Dakota,2017,7,"587,565   ","416,228   ",70.8,"405,903   ",69.1,"10,325   ",2.5
39,Ohio,2017,7,"9,238,265   ","5,834,261   ",63.2,"5,544,228   ",60.0,"290,033   ",5.0
40,Oklahoma,2017,7,"2,986,982   ","1,830,241   ",61.3,"1,757,151   ",58.8,"73,090   ",4.0
41,Oregon,2017,7,"3,330,961   ","2,086,668   ",62.6,"2,001,713   ",60.1,"84,955   ",4.1
42,Pennsylvania,2017,7,"10,356,762   ","6,484,963   ",62.6,"6,166,001   ",59.5,"318,962   ",4.9
44,Rhode Island,2017,7,"882,121   ","568,432   ",64.4,"543,089   ",61.6,"25,343   ",4.5
45,South Carolina,2017,7,"3,899,904   ","2,266,673   ",58.1,"2,172,303   ",55.7,"94,370   ",4.2
46,South Dakota,2017,7,"658,998   ","456,269   ",69.2,"442,319   ",67.1,"13,950   ",3.1
47,Tennessee,2017,7,"5,287,017   ","3,201,412   ",60.6,"3,090,836   ",58.5,"110,576   ",3.5
48,Texas,2017,7,"21,148,442   ","13,486,545   ",63.8,"12,915,730   ",61.1,"570,815   ",4.2
49,Utah,2017,7,"2,262,936   ","1,559,136   ",68.9,"1,509,675   ",66.7,"49,461   ",3.2
50,Vermont,2017,7,"527,970   ","355,638   ",67.4,"345,221   ",65.4,"10,417   ",2.9
51,Virginia,2017,7,"6,628,274   ","4,362,829   ",65.8,"4,206,323   ",63.5,"156,506   ",3.6
53,Washington,2017,7,"5,857,502   ","3,737,064   ",63.8,"3,565,091   ",60.9,"171,973   ",4.6
54,West Virginia,2017,7,"1,466,646   ","785,269   ",53.5,"745,020   ",50.8,"40,249   ",5.1
55,Wisconsin,2017,7,"4,618,478   ","3,150,342   ",68.2,"3,047,331   ",66.0,"103,011   ",3.3
56,Wyoming,2017,7,"445,249   ","293,905   ",66.0,"281,599   ",63.2,"12,306   ",4.2
1,Alabama,2017,8,"3,892,163   ","2,203,843   ",56.6,"2,111,469   ",54.2,"92,374   ",4.2
2,Alaska,2017,8,"546,477   ","360,404   ",66.0,"336,888   ",61.6,"23,516   ",6.5
4,Arizona,2017,8,"5,351,714   ","3,248,948   ",60.7,"3,091,379   ",57.8,"157,569   ",4.8
5,Arkansas,2017,8,"2,313,770   ","1,351,813   ",58.4,"1,301,295   ",56.2,"50,518   ",3.7
6,California,2017,8,"30,830,320   ","19,221,629   ",62.3,"18,307,232   ",59.4,"914,397   ",4.8
37,Los Angeles County,2017,8,"8,082,245   ","5,123,793   ",63.4,"4,879,572   ",60.4,"244,221   ",4.8
8,Colorado,2017,8,"4,385,333   ","2,981,249   ",68.0,"2,900,866   ",66.1,"80,383   ",2.7
9,Connecticut,2017,8,"2,901,999   ","1,922,196   ",66.2,"1,837,969   ",63.3,"84,227   ",4.4
10,Delaware,2017,8,"764,962   ","476,879   ",62.3,"455,788   ",59.6,"21,091   ",4.4
11,District of Columbia,2017,8,"558,693   ","394,563   ",70.6,"370,657   ",66.3,"23,906   ",6.1
12,Florida,2017,8,"16,855,400   ","9,991,052   ",59.3,"9,571,788   ",56.8,"419,264   ",4.2
13,Georgia,2017,8,"8,008,564   ","5,124,787   ",64.0,"4,887,201   ",61.0,"237,586   ",4.6
15,Hawaii,2017,8,"1,121,134   ","693,848   ",61.9,"679,954   ",60.6,"13,894   ",2.0
16,Idaho,2017,8,"1,318,540   ","843,855   ",64.0,"817,266   ",62.0,"26,589   ",3.2
17,Illinois,2017,8,"10,142,220   ","6,564,703   ",64.7,"6,239,573   ",61.5,"325,130   ",5.0
18,Indiana,2017,8,"5,193,251   ","3,339,376   ",64.3,"3,221,848   ",62.0,"117,528   ",3.5
19,Iowa,2017,8,"2,466,841   ","1,699,477   ",68.9,"1,648,009   ",66.8,"51,468   ",3.0
20,Kansas,2017,8,"2,227,969   ","1,490,537   ",66.9,"1,436,741   ",64.5,"53,796   ",3.6
21,Kentucky,2017,8,"3,492,335   ","2,056,456   ",58.9,"1,958,734   ",56.1,"97,722   ",4.8
22,Louisiana,2017,8,"3,585,778   ","2,106,561   ",58.7,"2,004,515   ",55.9,"102,046   ",4.8
23,Maine,2017,8,"1,107,028   ","704,992   ",63.7,"680,930   ",61.5,"24,062   ",3.4
24,Maryland,2017,8,"4,802,674   ","3,255,258   ",67.8,"3,124,951   ",65.1,"130,307   ",4.0
25,Massachusetts,2017,8,"5,660,650   ","3,733,717   ",66.0,"3,590,897   ",63.4,"142,820   ",3.8
26,Michigan,2017,8,"8,004,763   ","4,922,722   ",61.5,"4,693,937   ",58.6,"228,785   ",4.6
27,Minnesota,2017,8,"4,385,044   ","3,077,320   ",70.2,"2,972,123   ",67.8,"105,197   ",3.4
28,Mississippi,2017,8,"2,285,045   ","1,272,449   ",55.7,"1,206,728   ",52.8,"65,721   ",5.2
29,Missouri,2017,8,"4,777,853   ","3,054,426   ",63.9,"2,944,891   ",61.6,"109,535   ",3.6
30,Montana,2017,8,"838,037   ","529,722   ",63.2,"507,933   ",60.6,"21,789   ",4.1
31,Nebraska,2017,8,"1,475,274   ","1,025,609   ",69.5,"995,094   ",67.5,"30,515   ",3.0
32,Nevada,2017,8,"2,313,778   ","1,449,012   ",62.6,"1,379,704   ",59.6,"69,308   ",4.8
33,New Hampshire,2017,8,"1,113,862   ","758,800   ",68.1,"737,635   ",66.2,"21,165   ",2.8
34,New Jersey,2017,8,"7,276,146   ","4,622,153   ",63.5,"4,410,238   ",60.6,"211,915   ",4.6
35,New Mexico,2017,8,"1,627,683   ","948,194   ",58.3,"892,747   ",54.8,"55,447   ",5.8
36,New York,2017,8,"16,181,486   ","9,870,248   ",61.0,"9,407,451   ",58.1,"462,797   ",4.7
51000,New York city,2017,8,"7,092,775   ","4,312,352   ",60.8,"4,115,981   ",58.0,"196,371   ",4.6
37,North Carolina,2017,8,"7,945,010   ","4,886,091   ",61.5,"4,667,119   ",58.7,"218,972   ",4.5
38,North Dakota,2017,8,"587,820   ","415,469   ",70.7,"405,078   ",68.9,"10,391   ",2.5
39,Ohio,2017,8,"9,241,488   ","5,834,899   ",63.1,"5,546,538   ",60.0,"288,361   ",4.9
40,Oklahoma,2017,8,"2,987,947   ","1,832,044   ",61.3,"1,759,249   ",58.9,"72,795   ",4.0
41,Oregon,2017,8,"3,334,317   ","2,087,018   ",62.6,"2,000,873   ",60.0,"86,145   ",4.1
42,Pennsylvania,2017,8,"10,360,524   ","6,478,865   ",62.5,"6,160,498   ",59.5,"318,367   ",4.9
44,Rhode Island,2017,8,"882,706   ","568,723   ",64.4,"543,076   ",61.5,"25,647   ",4.5
45,South Carolina,2017,8,"3,903,880   ","2,266,940   ",58.1,"2,171,730   ",55.6,"95,210   ",4.2
46,South Dakota,2017,8,"659,402   ","456,284   ",69.2,"442,300   ",67.1,"13,984   ",3.1
47,Tennessee,2017,8,"5,292,324   ","3,206,644   ",60.6,"3,097,281   ",58.5,"109,363   ",3.4
48,Texas,2017,8,"21,174,902   ","13,495,091   ",63.7,"12,931,972   ",61.1,"563,119   ",4.2
49,Utah,2017,8,"2,267,344   ","1,561,331   ",68.9,"1,511,971   ",66.7,"49,360   ",3.2
50,Vermont,2017,8,"528,215   ","355,664   ",67.3,"345,249   ",65.4,"10,415   ",2.9
51,Virginia,2017,8,"6,632,713   ","4,364,018   ",65.8,"4,209,550   ",63.5,"154,468   ",3.5
53,Washington,2017,8,"5,865,750   ","3,743,266   ",63.8,"3,569,864   ",60.9,"173,402   ",4.6
54,West Virginia,2017,8,"1,466,046   ","786,433   ",53.6,"745,515   ",50.9,"40,918   ",5.2
55,Wisconsin,2017,8,"4,620,945   ","3,149,928   ",68.2,"3,046,854   ",65.9,"103,074   ",3.3
56,Wyoming,2017,8,"445,295   ","293,795   ",66.0,"281,298   ",63.2,"12,497   ",4.3
1,Alabama,2017,9,"3,894,542   ","2,204,575   ",56.6,"2,114,006   ",54.3,"90,569   ",4.1
2,Alaska,2017,9,"546,423   ","359,766   ",65.8,"336,298   ",61.5,"23,468   ",6.5
4,Arizona,2017,9,"5,360,338   ","3,252,264   ",60.7,"3,094,480   ",57.7,"157,784   ",4.9
5,Arkansas,2017,9,"2,314,830   ","1,350,879   ",58.4,"1,300,061   ",56.2,"50,818   ",3.8
6,California,2017,9,"30,847,344   ","19,215,041   ",62.3,"18,312,935   ",59.4,"902,106   ",4.7
37,Los Angeles County,2017,9,"8,082,473   ","5,122,100   ",63.4,"4,879,189   ",60.4,"242,911   ",4.7
8,Colorado,2017,9,"4,392,248   ","2,987,772   ",68.0,"2,905,274   ",66.1,"82,498   ",2.8
9,Connecticut,2017,9,"2,903,241   ","1,918,762   ",66.1,"1,835,036   ",63.2,"83,726   ",4.4
